Date,Gas Production
2/25/2015,1340.39094
2/26/2015,2644.82
2/27/2015,2695
2/28/2015,2690
3/1/2015,2542.42
3/2/2015,2372.478
3/3/2015,1645.5
3/4/2015,1281.618
3/5/2015,2705.005
3/6/2015,3063.372
3/7/2015,3168.353
3/8/2015,3235.121
3/9/2015,3236.4679
3/10/2015,3238.01
3/11/2015,3234.4975
3/12/2015,3230.2473
3/13/2015,3225.1958
3/14/2015,3222.4492
3/15/2015,3218.0178
3/16/2015,3214.635
3/17/2015,2689.949
3/18/2015,2696.1865
3/19/2015,3030.38
3/20/2015,2981.09
3/21/2015,2926.79
3/22/2015,2844.029
3/23/2015,2981.83
3/24/2015,2942.78
3/25/2015,2879.36
3/26/2015,2680.89
3/27/2015,2119.36
3/28/2015,3277.017
3/29/2015,3115.6
3/30/2015,3075.012
3/31/2015,3036.946
4/1/2015,2386.65
4/2/2015,3062.1987
4/3/2015,2917.0535
4/4/2015,2840.7928
4/5/2015,2827.444
4/6/2015,2855.7101
4/7/2015,2988.068
4/8/2015,3023.7873
4/9/2015,3011.2541
4/10/2015,2968.3268
4/11/2015,3226.54318
4/12/2015,3266.414
4/13/2015,3223.078
4/14/2015,3284.801
4/15/2015,3371.789
4/16/2015,3400.97
4/17/2015,3435.877
4/18/2015,3015.23239
4/19/2015,2556.899
4/20/2015,2462.453
4/21/2015,2442.06
4/22/2015,2407.373
4/23/2015,2436.082
4/24/2015,2569.744
4/25/2015,2527.4579
4/26/2015,2417.09908
4/27/2015,2397.41463
4/28/2015,2425.7681
4/29/2015,2383.74979
4/30/2015,2402.907
5/1/2015,2454.38763
5/2/2015,2398.888
5/3/2015,2432.119
5/4/2015,2222.232
5/5/2015,2540.4366
5/6/2015,2447.9174
5/7/2015,2460.4635
5/8/2015,2578.053
5/9/2015,2869.9265
5/10/2015,2803.924
5/11/2015,2704.846
5/12/2015,2711.719
5/13/2015,2678.068
5/14/2015,2662.5102
5/15/2015,2676.067
5/16/2015,2621.271
5/17/2015,2422.881
5/18/2015,2314.312
5/19/2015,1747.324
5/20/2015,1771.091
5/21/2015,1763.017
5/22/2015,1759.035
5/23/2015,1737.701
5/24/2015,1717.162
5/25/2015,1722.281
5/26/2015,1726.769
5/27/2015,1719.705
5/28/2015,1714.382
5/29/2015,1710.172
5/30/2015,1672.51
5/31/2015,1602.125
6/1/2015,1594.065
6/2/2015,1637.779
6/3/2015,1562.936
6/4/2015,1373.225
6/5/2015,1329.397
6/6/2015,1392.153
6/7/2015,1381.107
6/8/2015,1378.947
6/9/2015,1384.743
6/10/2015,1304.22
6/11/2015,1430.426
6/12/2015,944.3942
6/13/2015,389.0345
6/14/2015,1192.4354
6/15/2015,1198.151
6/16/2015,1213.053
6/17/2015,1206.742
6/18/2015,1215.6685
6/19/2015,1067.625
6/20/2015,945.2945
6/21/2015,937.5222
6/22/2015,913.3344
6/23/2015,903.6241
6/24/2015,796.9443
6/25/2015,959.6497
6/26/2015,956.9504
6/27/2015,940.32
6/28/2015,919.3503
6/29/2015,888.8817
6/30/2015,957.5914
7/1/2015,947.3743
7/2/2015,946.9557
7/3/2015,924.04
7/4/2015,924.6191
7/5/2015,921.8045
7/6/2015,945.0546
7/7/2015,944.42709
7/8/2015,932.6623
7/9/2015,939.3715
7/10/2015,944.5464
7/11/2015,952.9543
7/12/2015,929.7311
7/13/2015,911.3793
7/14/2015,901.4559
7/15/2015,935.9885
7/16/2015,931.2806
7/17/2015,948.6622
7/18/2015,963.59117
7/19/2015,919.9196
7/20/2015,878.0419
7/21/2015,949.9921
7/22/2015,947.3613
7/23/2015,937.8914
7/24/2015,917.3179
7/25/2015,955.1749
7/26/2015,961.6783
7/27/2015,956.3522
7/28/2015,945.1789
7/29/2015,944.13132
7/30/2015,941.5723
7/31/2015,948.129
8/1/2015,914.674
8/2/2015,910.1907
8/3/2015,956.8398
8/4/2015,944.952
8/5/2015,960.676
8/6/2015,957.813
8/7/2015,956.2801
8/8/2015,621.5778
8/9/2015,954.4626
8/10/2015,957.0186
8/11/2015,948.4684
8/12/2015,930.2942
8/13/2015,912.5832
8/14/2015,941.9448
8/15/2015,945.2346
8/16/2015,942.3287
8/17/2015,950.6289
8/18/2015,929.1479
8/19/2015,933.2228
8/20/2015,949.4333
8/21/2015,954.2469
8/22/2015,957.5311
8/23/2015,944.3694
8/24/2015,854.3694
8/25/2015,937.4959
8/26/2015,917.2609
8/27/2015,917.8317
8/28/2015,964.4993
8/29/2015,979.8779
8/30/2015,955.7249
8/31/2015,978.2577
9/1/2015,979.3429
9/2/2015,979.6527
9/3/2015,982.2739
9/4/2015,974.2814
9/5/2015,983.9487
9/6/2015,984.5724
9/7/2015,985.1855
9/8/2015,986.555
9/9/2015,988.2717
9/10/2015,982.50565
9/11/2015,968.7894
9/12/2015,974.5356
9/13/2015,967.6579
9/14/2015,944.9588
9/15/2015,971.8831
9/16/2015,982.1774
9/17/2015,983.9786
9/18/2015,979.5419
9/19/2015,944.2121
9/20/2015,971.4528
9/21/2015,973.0172
9/22/2015,964.0666
9/23/2015,976.7868
9/24/2015,974.4443
9/25/2015,976.5344
9/26/2015,971.6314
9/27/2015,978.0292
9/28/2015,978.1141
9/29/2015,976.9368
9/30/2015,976.5509
10/1/2015,977.8373
10/2/2015,972.5211
10/3/2015,970.1257
10/4/2015,982.1554
10/5/2015,977.3391
10/6/2015,977.937
10/7/2015,979.1443
10/8/2015,975.6917
10/9/2015,975.4424
10/10/2015,974.6547
10/11/2015,971.391
10/12/2015,971.1342
10/13/2015,979.1456
10/14/2015,979.9352
10/15/2015,976.4887
10/16/2015,978.0857
10/17/2015,977.1611
10/18/2015,965.9993
10/19/2015,971.3571
10/20/2015,968.6024
10/21/2015,968.4613
10/22/2015,971.3746
10/23/2015,975.7211
10/24/2015,978.4349
10/25/2015,970.5208
10/26/2015,974.2131
10/27/2015,976.3254
10/28/2015,974.3287
10/29/2015,971.6687
10/30/2015,971.915
