Date,Caramelo-2,Caramelo-3,Toposi-1,Toposi-2H,La Estancia-1H
2/25/2015,1340.39094,,,,
2/26/2015,2644.82,,1337.4413,,
2/27/2015,2695,,2415,,
2/28/2015,2690,,2475,,
3/1/2015,2542.42,,2475.902,,
3/2/2015,2372.478,,2186.992,,
3/3/2015,1645.5,,1180.461,,
3/4/2015,1281.618,,820.4789,,
3/5/2015,2705.005,,2258.583,,
3/6/2015,3063.372,,2365.689,,
3/7/2015,3168.353,,2363.015,,
3/8/2015,3235.121,,2361.969,,
3/9/2015,3236.4679,,2330.36333,,
3/10/2015,3238.01,,2326.89241,,
3/11/2015,3234.4975,,2347.8591,,
3/12/2015,3230.2473,,2360.96231,,
3/13/2015,3225.1958,,2338.78835,,
3/14/2015,3222.4492,,2324.04601,,
3/15/2015,3218.0178,,2308.00812,,
3/16/2015,3214.635,,2100.76374,,
3/17/2015,2689.949,,1857.05154,,
3/18/2015,2696.1865,,1853.22281,,
3/19/2015,3030.38,,2037.52,,
3/20/2015,2981.09,,1991.41,,
3/21/2015,2926.79,,1974.21,,
3/22/2015,2844.029,,1889.69,,
3/23/2015,2981.83,,2005.77,,
3/24/2015,2942.78,,1949.666,,
3/25/2015,2879.36,,1905.65,,
3/26/2015,2680.89,,1773.6,,
3/27/2015,2119.36,,1307.58,,
3/28/2015,3277.017,,2108.97,,
3/29/2015,3115.6,,2050.65,,
3/30/2015,3075.012,,2054.34228,,
3/31/2015,3036.946,,2005.32093,,
4/1/2015,2386.65,,1493.35,,
4/2/2015,3062.1987,,1998.23311,,
4/3/2015,2917.0535,,1868.58256,,
4/4/2015,2840.7928,,1826.875,,
4/5/2015,2827.444,,1826.356,,
4/6/2015,2855.7101,,1651.8145,,
4/7/2015,2988.068,,1597.47,,
4/8/2015,3023.7873,,2065.18397,,
4/9/2015,3011.2541,,2044.29533,,
4/10/2015,2968.3268,,2009.53989,,
4/11/2015,3226.54318,,2068.99234,,
4/12/2015,3266.414,,1992.91277,,
4/13/2015,3223.078,,1961.699,,
4/14/2015,3284.801,,1993.223,,
4/15/2015,3371.789,,2038.817,,
4/16/2015,3400.97,,2027.80988,509.802,
4/17/2015,3435.877,,2029.741,0,
4/18/2015,3015.23239,,1875.909,660.113,
4/19/2015,2556.899,,1654.414,1466,
4/20/2015,2462.453,,1579.175,1952,
4/21/2015,2442.06,,1579.18,2587,
4/22/2015,2407.373,,1501.163,1351.5,
4/23/2015,2436.082,,1568.12,0,
4/24/2015,2569.744,,1527.928,0,
4/25/2015,2527.4579,,1511.12564,0,
4/26/2015,2417.09908,,1473.62852,0,
4/27/2015,2397.41463,,1468.10149,0,
4/28/2015,2425.7681,,1481.35398,0,
4/29/2015,2383.74979,,1483.907,0,
4/30/2015,2402.907,,1501.94946,0,
5/1/2015,2454.38763,,1457.3272,0,
5/2/2015,2398.888,,1508.663,0,
5/3/2015,2432.119,,1546.124,0,
5/4/2015,2222.232,,1597.365,0,
5/5/2015,2540.4366,,1597.21489,0,
5/6/2015,2447.9174,,1538.79768,0,
5/7/2015,2460.4635,,1560.82413,0,
5/8/2015,2578.053,,1546.84632,0,
5/9/2015,2869.9265,,1537.3896,0,
5/10/2015,2803.924,,1506.84639,0,
5/11/2015,2704.846,,1489.299,0,
5/12/2015,2711.719,,1494.05,0,
5/13/2015,2678.068,,1467.917,0,
5/14/2015,2662.5102,,1474.768,0,
5/15/2015,2676.067,,1481.263175,0,
5/16/2015,2621.271,,1472.753,0,
5/17/2015,2422.881,,1499.242,0,
5/18/2015,2314.312,,1458.893,0,
5/19/2015,1747.324,,1429.618,0,
5/20/2015,1771.091,,1478.311,0,
5/21/2015,1763.017,,1454.734,0,
5/22/2015,1759.035,,1445.663,0,
5/23/2015,1737.701,,1429.222,0,
5/24/2015,1717.162,,1423.674,0,
5/25/2015,1722.281,,1448.886,0,
5/26/2015,1726.769,,1474.170685,0,
5/27/2015,1719.705,,1485.56,0,
5/28/2015,1714.382,,1469.571735,861.507771,
5/29/2015,1710.172,,1206.48,1339.566,
5/30/2015,1672.51,,812.7366,1375.989,
5/31/2015,1602.125,,801.7457,1330.275,
6/1/2015,1594.065,,827.1409,1332.444,
6/2/2015,1637.779,,862.6363,1368.041,
6/3/2015,1562.936,,846.1317,1320.028,
6/4/2015,1373.225,,840.9462,1287.303,
6/5/2015,1329.397,,863.7084,1319.889,
6/6/2015,1392.153,,905.6593,1376.87,
6/7/2015,1381.107,,917.0157,1370.633,
6/8/2015,1378.947,,898.0125,1371.343,
6/9/2015,1384.743,,886.9899,1377.852,
6/10/2015,1304.22,,914.0878,1364.007,
6/11/2015,1430.426,,914.0476,1366.521,
6/12/2015,944.3942,,956.7763,1361.799,
6/13/2015,389.0345,,1027.167,1181.728,197
6/14/2015,1192.4354,,1026.865,940.6687,87
6/15/2015,1198.151,,1021.307,737.0043,316
6/16/2015,1213.053,,1026.324,947.5739,147
6/17/2015,1206.742,,1017.146,940.0439,530
6/18/2015,1215.6685,,1019.7765,941.3702,239
6/19/2015,1067.625,,975.582,927.0133,791
6/20/2015,945.2945,,908.3445,936.8588,360
6/21/2015,937.5222,,841.89,924.8465,
6/22/2015,913.3344,,915.0956,896.8721,
6/23/2015,903.6241,,923.5136,879.8015,
6/24/2015,796.9443,,816.5532,777.1165,
6/25/2015,959.6497,,979.6427,941.1447,
6/26/2015,956.9504,,977.6195,940.2911,
6/27/2015,940.32,,958.8803,928.2418,
6/28/2015,919.3503,,937.5172,902.9799,
6/29/2015,888.8817,,894.4279,861.6835,
6/30/2015,957.5914,,973.4133,939.624,
7/1/2015,947.3743,,964.4438,935.8987,
7/2/2015,946.9557,,962.6326,936.568,
7/3/2015,924.04,,937.551,907.04311,
7/4/2015,924.6191,,936.7437,905.3694,
7/5/2015,921.8045,,933.1387,900.9258,
7/6/2015,945.0546,,957.6889,931.2425,
7/7/2015,944.42709,,956.1871,928.9105,
7/8/2015,932.6623,,949.124,920.9554,
7/9/2015,939.3715,,951.5209,924.341,
7/10/2015,944.5464,,954.8071,927.3123,
7/11/2015,952.9543,,963.2037,935.2472,
7/12/2015,929.7311,,937.2712,907.2661,
7/13/2015,911.3793,,915.5832,881.2594,
7/14/2015,901.4559,,927.9303,890.6232,
7/15/2015,935.9885,,944.0982,921.94481,
7/16/2015,931.2806,,937.2573,917.3167,
7/17/2015,948.6622,,956.6492,934.6066,
7/18/2015,963.59117,,971.001,931.23826,
7/19/2015,919.9196,,925.5737,901.1776,
7/20/2015,878.0419,,878.855,852.9825,
7/21/2015,949.9921,,956.8074,920.5178,
7/22/2015,947.3613,,952.8502,932.6666,
7/23/2015,937.8914,,942.288,918.752,
7/24/2015,917.3179,,919.3524,896.3482,
7/25/2015,955.1749,,959.8032,931.4366,
7/26/2015,961.6783,,965.8181,933.183,
7/27/2015,956.3522,,958.454,929.5372,
7/28/2015,945.1789,,944.7208,920.4632,
7/29/2015,944.13132,,941.7621,916.1174,
7/30/2015,941.5723,,938.0463,910.7909,
7/31/2015,948.129,,944.4151,917.0779,
8/1/2015,914.674,,907.6229,869.425,
8/2/2015,910.1907,,901.2681,859.3688,
8/3/2015,956.8398,,953.3423,917.2291,
8/4/2015,944.952,,940.0235,902.035,
8/5/2015,960.676,,956.6489,917.0386,
8/6/2015,957.813,,951.3949,914.7188,
8/7/2015,956.2801,,946.3619,912.5507,
8/8/2015,621.5778,,637.2336,587.3571,
8/9/2015,954.4626,,960.0268,904.0419,
8/10/2015,957.0186,,958.2161,909.0224,
8/11/2015,948.4684,,923.2905,898.6035,
8/12/2015,930.2942,,929.8297,873.0294,
8/13/2015,912.5832,,908.7883,846.4971,
8/14/2015,941.9448,,939.2223,888.087,
8/15/2015,945.2346,,941.1533,858.344,
8/16/2015,942.3287,,657.8901,872.7194,
8/17/2015,950.6289,,717.9146,885.5807,
8/18/2015,929.1479,,701.4238,862.004,
8/19/2015,933.2228,,703.4919,872.4194,
8/20/2015,949.4333,,724.1464,816.4622,
8/21/2015,954.2469,,730.5884,795.8994,
8/22/2015,957.5311,,823.7739,644.4361,
8/23/2015,944.3694,,963.7142,846.4716,
