Well identifier,Surface,MD
Aguachica-2,REAL,0
Aguachica-2,UNCONFORMITY,2054.17
Aguachica-2,UMIR,2054.17
Aguachica-2,LA LUNA,2865.99
Aguachica-2,SALTO LIMESTONE,3952.15
Aguachica-2,SIMITI,4176.53
Aguachica-2,TABLAZO,4666.07
Aguachica-2,PAJA,4810.63
Aguachica-2,ROSABLANCA MARLSTONE,5032.93
Aguachica-2,ROSABLANCA LIMESTONE,5202.44
Aguachica-2,RB1 TOP,5233.28
Aguachica-2,RB2 TOP,5289.42
Aguachica-2,RB2 BASE,5312.23
Aguachica-2,TAMBOR,5707.15
Aguachica-2,TOTAL DEPTH,5733
Bandera-1,REAL,0
Bandera-1,SIMITI,3206.1
Bandera-1,TABLAZO,3916.58
Bandera-1,PAJA,4054.72
Bandera-1,ROSABLANCA MARLSTONE,4416.84
Bandera-1,ROSABLANCA LIMESTONE,4586.04
Bandera-1,RB1 TOP,4618.76
Bandera-1,RB2 TOP,4662.45
Bandera-1,RB2 BASE,4683.99
Bandera-1,TAMBOR,5080.44
Bandera-1,GIRON,5138.89
Caramelo-1,REAL,0
Caramelo-1,UNCONFORMITY,2683.99
Caramelo-1,LA LUNA,2683.99
Caramelo-1,SIMITI,3157.14
Caramelo-1,TABLAZO,3651.95
Caramelo-1,PAJA,3809.5
Caramelo-1,ROSABLANCA MARLSTONE,3998.42
Caramelo-1,ROSABLANCA LIMESTONE,4148
Caramelo-1,RB1 TOP,4688.41
Caramelo-1,RB2 TOP,4744.48
Caramelo-1,RB2 BASE,4781.86
Caramelo-1,TAMBOR,5195
Caramelo-1,GIRON,5213.25
Caramelo-2,REAL,0
Caramelo-2,SIMITI,3094.47
Caramelo-2,TABLAZO,3628.27
Caramelo-2,PAJA,3801.11
Caramelo-2,ROSABLANCA MARLSTONE,3999.42
Caramelo-2,ROSABLANCA LIMESTONE,4166.9
Caramelo-2,RB1 TOP,4199.3
Caramelo-2,RB2 TOP,4254.87
Caramelo-2,RB2 BASE,4275.99
Caramelo-2,TAMBOR,4689.93
Caramelo-2,GIRON,4705.04
Caramelo-2,TOTAL DEPTH,4812
Caramelo-3,UNCONFORMITY,2548.87
Caramelo-3,LA LUNA,2548.87
Caramelo-3,SALTO LIMESTONE,2856.97
Caramelo-3,SIMITI,3113.47
Caramelo-3,TABLAZO,3670.27
Caramelo-3,PAJA,3894.6
Caramelo-3,ROSABLANCA MARLSTONE,4215.24
Caramelo-3,ROSABLANCA LIMESTONE,4689.39
Caramelo-3,RB1 TOP,5006.01
Caramelo-3,RB2 TOP,6213
Caramelo-3,RB2 BASE,6782
Caramelo-3,TOTAL DEPTH,8540
Crisol-1,REAL,0
Crisol-1,UNCONFORMITY,2494.35
Crisol-1,LA LUNA,2494.35
Crisol-1,SALTO LIMESTONE,2748.58
Crisol-1,SIMITI,2968.81
Crisol-1,TABLAZO,3494.67
Crisol-1,PAJA,3704.2
Crisol-1,ROSABLANCA MARLSTONE,3878
Crisol-1,ROSABLANCA LIMESTONE,4042
Crisol-1,RB1 TOP,4074.52
Crisol-1,RB2 TOP,4119.54
Crisol-1,RB2 BASE,4150
