X,Y,Z
1048919.89,1404102.31,0
1048919.43,1404796.31,0
1048919.43,1409955.25,0
1047191.48,1409995.25,0
1047191.49,1411869.23,0
1038838.76,1411869.23,0
1037721.58,1411871.64,0
1036553.73,1419988.21,0
1036408.85,1420995.12,0
1036798.83,1421095.12,0
1036798.92,1422529.17,0
1040656.93,1422514.58,0
1052130.21,1422527.31,0
1052130.21,1417905.58,0
1053243,1417905.58,0
1053243,1415976.98,0
1054900,1415976.98,0
1054900,1413318.05,0
1057339.99,1413318.05,0
1057339.99,1408382.91,0
1060575,1408382.91,0
1060575,1404110.24,0
1048919.89,1404102.31,0
