X,Y,Z
1048216.621,1417244.009,0
1048216.621,1417244.009,16
1048216.621,1417244.034,32.33333333
1048216.621,1417244.11,48.66666667
1048216.621,1417244.237,65
1048216.621,1417245.543,196.6666667
1048216.621,1417247.01,328.3333333
1048216.621,1417248.638,460
1048216.621,1417251.588,688.5
1048216.621,1417254.508,917
1048216.621,1417254.805,940.5
1048216.621,1417255.1,964
1048216.605,1417255.741,1015.5
1048216.556,1417256.376,1067
1048216.514,1417256.849,1109
1048216.491,1417257.238,1151
1048216.471,1417257.755,1214
1048216.449,1417258.269,1277
1048216.431,1417258.785,1341
1048216.422,1417259.293,1405
1048216.409,1417259.798,1468
1048216.381,1417260.321,1531
1048216.34,1417260.851,1594.5
1048216.29,1417261.371,1658
1048216.235,1417261.895,1721
1048216.179,1417262.447,1784
1048216.118,1417263.001,1845
1048216.043,1417263.565,1906
1048215.938,1417264.166,1970.5
1048215.797,1417264.769,2035
1048215.644,1417265.365,2098
1048215.499,1417265.973,2161
1048215.354,1417266.599,2225
1048215.203,1417267.232,2289
1048215.032,1417267.883,2353.5
1048214.829,1417268.555,2418
1048214.612,1417269.224,2480.5
1048214.387,1417269.907,2543
1048214.135,1417270.592,2605.5
1048213.838,1417271.263,2668
1048213.634,1417271.693,2710.666667
1048213.459,1417272.073,2753.333333
1048213.313,1417272.404,2796
1048213.121,1417272.863,2859.5
1048212.937,1417273.327,2923
1048212.749,1417273.793,2986.5
1048212.548,1417274.258,3050
1048212.352,1417274.722,3113
1048212.179,1417275.189,3176
1048212.119,1417275.467,3218
1048212.154,1417275.678,3260
1048212.284,1417275.82,3302
1048212.505,1417275.909,3344
1048212.811,1417275.96,3386
1048213.204,1417275.973,3428
1048213.669,1417275.945,3470
1048214.193,1417275.87,3512
1048214.777,1417275.749,3554
1048215.703,1417275.499,3618.5
1048216.597,1417275.195,3683
1048217.483,1417274.857,3746
1048218.424,1417274.493,3809
1048219.428,1417274.092,3872
1048220.507,1417273.642,3935
1048221.644,1417273.147,3998
1048222.823,1417272.611,4061
1048223.617,1417272.237,4104
1048224.361,1417271.875,4147
1048225.055,1417271.525,4190
1048226.044,1417271.001,4253.5
1048227.031,1417270.44,4317
1048227.961,1417269.845,4379.5
1048228.806,1417269.199,4442
1048229.579,1417268.508,4504
1048230.308,1417267.771,4566
1048230.768,1417267.245,4608.333333
1048231.181,1417266.706,4650.666667
1048231.547,1417266.154,4693
1048231.766,1417265.763,4722.5
1048231.945,1417265.365,4752
1048232.126,1417264.818,4793.666667
1048232.219,1417264.309,4835.333333
1048232.224,1417263.839,4877
1048232.178,1417263.508,4908
1048232.098,1417263.183,4939
1048231.883,1417262.554,5000
1048231.622,1417261.936,5061
1048231.391,1417261.506,5105.5
1048231.109,1417261.111,5150
