X,Y,Z
1045791.749,1414650.102,0
1045791.749,1414650.102,22
1045791.806,1414650.149,299.75
1045791.976,1414650.291,577.5
1045792.259,1414650.528,855.25
1045792.656,1414650.86,1133
1045792.732,1414650.908,1178.5
1045792.81,1414650.93,1224
1045792.888,1414650.931,1272
1045792.954,1414650.917,1320
1045793.049,1414650.877,1412.5
1045793.105,1414650.841,1505
1045793.202,1414650.765,1645.5
1045793.382,1414650.638,1786
1045793.493,1414650.531,1880
1045793.528,1414650.415,1974
1045793.489,1414650.291,2068
1045793.434,1414650.152,2163
1045793.424,1414649.995,2258
1045793.458,1414649.82,2353
1045793.527,1414649.695,2445.666667
1045793.622,1414649.677,2538.333333
1045793.744,1414649.767,2631
1045793.823,1414649.785,2678.25
1045793.925,1414649.691,2725.5
1045794.049,1414649.485,2772.75
1045794.196,1414649.168,2820
1045794.353,1414648.795,2867.5
1045794.51,1414648.423,2915
1045794.643,1414648.064,2962.5
1045794.728,1414647.726,3010
1045794.805,1414647.375,3056.5
1045794.914,1414646.965,3103
1045795.01,1414646.645,3134.333333
1045795.13,1414646.28,3165.666667
1045795.273,1414645.868,3197
1045795.413,1414645.465,3228.333333
1045795.524,1414645.125,3259.666667
1045795.606,1414644.849,3291
1045795.651,1414644.649,3321.666667
1045795.657,1414644.529,3352.333333
1045795.623,1414644.488,3383
1045795.558,1414644.44,3429
1045795.524,1414644.301,3475
1045795.521,1414644.071,3522
1045795.546,1414643.759,3569
1045795.574,1414643.553,3600.666667
1045795.604,1414643.411,3632.333333
1045795.636,1414643.333,3664
1045795.701,1414643.231,3711
1045795.797,1414643.065,3758
1045795.881,1414642.91,3789.666667
1045795.982,1414642.712,3821.333333
1045796.102,1414642.472,3853
1045796.211,1414642.247,3884
1045796.284,1414642.082,3915
1045796.323,1414641.979,3946
1045796.359,1414641.84,3994
1045796.399,1414641.649,4042
1045796.432,1414641.487,4072.666667
1045796.476,1414641.28,4103.333333
1045796.53,1414641.029,4134
1045796.607,1414640.625,4182
1045796.647,1414640.273,4230
1045796.705,1414639.927,4276.5
1045796.836,1414639.518,4323
1045797.019,1414639.036,4371
1045797.223,1414638.496,4419
1045797.353,1414638.167,4449.333333
1045797.474,1414637.897,4479.666667
1045797.585,1414637.686,4510
1045797.751,1414637.414,4557
1045797.918,1414637.158,4604
1045798.096,1414636.893,4651
1045798.294,1414636.594,4698
1045798.545,1414636.211,4755
