X,Y,Z
1045791.705,1414650.102,0
1045791.705,1414650.102,22
1045791.761,1414650.149,299.75
1045791.932,1414650.291,577.5
1045792.215,1414650.528,855.25
1045792.612,1414650.86,1133
1045792.681,1414650.879,1161.5
1045792.794,1414650.859,1190
1045792.878,1414650.821,1204.666667
1045792.989,1414650.746,1219.333333
1045793.129,1414650.635,1234
1045793.455,1414650.298,1264.333333
1045793.793,1414649.823,1294.666667
1045794.145,1414649.21,1325
1045794.449,1414648.475,1355.666667
1045794.636,1414647.651,1386.333333
1045794.706,1414646.738,1417
1045794.662,1414646.017,1440.25
1045794.515,1414645.306,1463.5
1045794.264,1414644.605,1486.75
1045793.908,1414643.915,1510
1045793.452,1414643.26,1533.5
1045792.906,1414642.68,1557
1045792.271,1414642.176,1580.5
1045791.547,1414641.748,1604
1045790.479,1414641.191,1635.333333
1045789.322,1414640.557,1666.666667
1045788.077,1414639.849,1698
1045786.846,1414639.163,1728.666667
1045785.673,1414638.568,1759.333333
1045784.561,1414638.063,1790
1045783.778,1414637.736,1813.5
1045783.088,1414637.459,1837
1045782.492,1414637.232,1860.5
1045781.99,1414637.055,1884
1045781.113,1414636.768,1930
1045780.265,1414636.5,1976
1045779.749,1414636.315,2007.333333
1045779.337,1414636.114,2038.666667
1045779.029,1414635.896,2070
1045778.798,1414635.651,2101.333333
1045778.616,1414635.37,2132.666667
1045778.483,1414635.052,2164
1045778.358,1414634.738,2195.333333
1045778.2,1414634.468,2226.666667
1045778.01,1414634.242,2258
1045777.791,1414634.097,2289
1045777.543,1414634.064,2320
1045777.264,1414634.144,2351
1045776.995,1414634.289,2382.333333
1045776.779,1414634.448,2413.666667
1045776.616,1414634.62,2445
1045776.458,1414634.88,2491.5
1045776.386,1414635.127,2538
1045776.362,1414635.323,2585
1045776.346,1414635.424,2632
1045776.346,1414635.439,2679
1045776.371,1414635.379,2726
1045776.406,1414635.294,2757
1045776.463,1414635.169,2788
1045776.54,1414635.002,2819
1045776.669,1414634.717,2866
1045776.791,1414634.428,2913
1045776.885,1414634.112,2960
1045776.928,1414633.749,3007
1045776.937,1414633.528,3038
1045776.938,1414633.377,3069
1045776.932,1414633.296,3100
1045776.909,1414633.241,3147.5
1045776.871,1414633.22,3195
1045776.839,1414633.209,3219.5
1045776.789,1414633.18,3244
1045776.689,1414633.131,3267.5
1045776.5,1414633.055,3291
1045776.308,1414632.983,3307.666667
1045776.064,1414632.893,3324.333333
1045775.767,1414632.785,3341
1045775.316,1414632.626,3362.5
1045774.799,1414632.449,3384
1045774.092,1414632.205,3410
1045773.304,1414631.922,3436
1045772.58,1414631.647,3458
1045771.809,1414631.337,3480
1045771.02,1414631.001,3501
1045770.168,1414630.619,3522
1045769.404,1414630.266,3539.333333
1045768.571,1414629.876,3556.666667
1045767.67,1414629.449,3574
1045766.723,1414629.009,3591
1045765.72,1414628.562,3608
1045764.66,1414628.108,3625
1045763.668,1414627.7,3640
1045762.613,1414627.281,3655
1045761.493,1414626.852,3670
1045760.363,1414626.418,3684.333333
1045759.172,1414625.948,3698.666667
1045757.92,1414625.44,3713
1045756.361,1414624.799,3730
1045754.724,1414624.123,3747
1045753.011,1414623.412,3764
1045751.44,1414622.761,3779
1045749.815,1414622.094,3794
1045748.137,1414621.411,3809
1045746.289,1414620.661,3825
1045744.378,1414619.886,3841
1045742.406,1414619.086,3857
1045740.28,1414618.22,3873.666667
1045738.076,1414617.316,3890.333333
1045735.794,1414616.374,3907
1045733.825,1414615.559,3921
1045731.818,1414614.727,3935
1045729.773,1414613.877,3949
1045727.332,1414612.856,3965.333333
1045724.828,1414611.794,3981.666667
1045722.26,1414610.691,3998
1045719.904,1414609.668,4012.666667
1045717.506,1414608.614,4027.333333
1045715.065,1414607.531,4042
1045712.41,1414606.344,4057.666667
1045709.704,1414605.13,4073.333333
1045706.947,1414603.889,4089
1045704.209,1414602.647,4104.333333
1045701.438,1414601.379,4119.666667
1045698.636,1414600.084,4135
1045695.612,1414598.684,4151.333333
1045692.542,1414597.272,4167.666667
1045689.426,1414595.849,4184
1045686.461,1414594.507,4199.333333
1045683.455,1414593.165,4214.666667
1045680.409,1414591.823,4230
1045677.326,1414590.471,4245.333333
1045674.209,1414589.097,4260.666667
1045671.058,1414587.703,4276
1045667.655,1414586.192,4292.333333
1045664.195,1414584.651,4308.666667
1045660.679,1414583.08,4325
1045657.406,1414581.613,4340
1045654.096,1414580.124,4355
1045650.75,1414578.615,4370
1045647.064,1414576.959,4386.333333
1045643.333,1414575.3,4402.666667
1045639.558,1414573.639,4419
1045636.06,1414572.096,4434
1045632.541,1414570.52,4449
1045629.002,1414568.911,4464
1045625.026,1414567.117,4480.666667
1045620.985,1414565.344,4497.333333
1045616.881,1414563.594,4514
1045613.232,1414562.052,4528.666667
1045609.56,1414560.482,4543.333333
1045605.867,1414558.885,4558
1045602.065,1414557.231,4573
1045598.235,1414555.563,4588
1045594.379,1414553.881,4603
1045590.5,1414552.182,4618
1045586.6,1414550.464,4633
1045582.68,1414548.727,4648
1045578.218,1414546.729,4665
1045573.739,1414544.691,4682
1045569.246,1414542.614,4699
1045565.093,1414540.668,4714.666667
1045560.926,1414538.693,4730.333333
1045556.749,1414536.69,4746
1045552.28,1414534.561,4762.666667
1045547.776,1414532.467,4779.333333
1045543.237,1414530.407,4796
1045539.408,1414528.684,4810
1045535.576,1414526.946,4824
1045531.741,1414525.192,4838
1045527.074,1414523.056,4855
1045522.392,1414520.925,4872
1045517.695,1414518.801,4889
1045512.362,1414516.403,4908.25
1045507.014,1414514.014,4927.5
1045501.655,1414511.637,4946.75
1045496.287,1414509.271,4966
1045490.706,1414506.818,4986
1045485.128,1414504.359,5006
1045476.209,1414500.411,5038
1045467.299,1414496.445,5070
1045458.399,1414492.459,5102
1045449.705,1414488.511,5133.333333
1045441.042,1414484.494,5164.666667
1045432.411,1414480.406,5196
1045419.346,1414474.167,5243.5
1045406.272,1414467.947,5291
1045397.906,1414464.01,5321.333333
1045389.512,1414460.133,5351.666667
1045381.092,1414456.315,5382
1045372.304,1414452.324,5413.666667
1045363.549,1414448.261,5445.333333
1045354.827,1414444.126,5477
1045341.653,1414437.765,5525
1045328.516,1414431.325,5573
1045315.108,1414424.747,5622
1045301.664,1414418.242,5671
1045292.847,1414414.071,5703
1045283.982,1414410.003,5735
1045275.069,1414406.041,5767
1045262.356,1414400.499,5812.5
1045249.629,1414394.992,5858
1045240.701,1414391.066,5890
1045231.831,1414387.009,5922
1045223.022,1414382.822,5954
1045216.812,1414379.737,5976.75
1045210.665,1414376.527,5999.5
1045204.585,1414373.193,6022.25
1045198.573,1414369.737,6045
1045194.388,1414367.235,6061
1045190.238,1414364.673,6077
1045186.125,1414362.052,6093
