X,Y,Z
1043509.574,1415810.832,0
1043509.574,1415810.832,22
1043509.606,1415810.75,274.25
1043509.7,1415810.506,526.5
1043509.858,1415810.099,778.75
1043510.078,1415809.53,1031
1043510.114,1415809.417,1078
1043510.128,1415809.321,1125
1043510.138,1415809.22,1171.5
1043510.163,1415809.087,1218
1043510.191,1415808.945,1264.5
1043510.212,1415808.812,1311
1043510.238,1415808.691,1358
1043510.285,1415808.583,1405
1043510.353,1415808.486,1452
1043510.448,1415808.396,1499
1043510.558,1415808.31,1546.5
1043510.673,1415808.226,1594
1043510.777,1415808.154,1641.5
1043510.855,1415808.107,1689
1043510.927,1415808.082,1736
1043511.016,1415808.076,1783
1043511.118,1415808.069,1829.5
1043511.231,1415808.038,1876
1043511.352,1415808.014,1923.5
1043511.47,1415808.027,1971
1043511.595,1415808.053,2017
1043511.744,1415808.071,2063
1043511.896,1415808.086,2110.5
1043512.019,1415808.106,2158
1043512.07,1415808.116,2179
1043512.124,1415808.13,2200
1043512.198,1415808.149,2226.5
1043512.279,1415808.173,2253
1043512.452,1415808.222,2301.5
1043512.667,1415808.278,2350
1043512.935,1415808.352,2396
1043513.291,1415808.462,2442
1043513.704,1415808.582,2488
1043514.142,1415808.687,2534
1043514.432,1415808.743,2566
1043514.678,1415808.776,2598
1043514.879,1415808.784,2630
1043515.082,1415808.78,2665
1043515.301,1415808.78,2700
1043515.377,1415808.78,2711.5
1043515.454,1415808.781,2723
1043515.802,1415808.753,2770.5
1043516.2,1415808.662,2818
1043516.611,1415808.526,2864.5
1043517.017,1415808.355,2911
1043517.411,1415808.145,2957.5
1043517.785,1415807.89,3004
1043518.02,1415807.733,3035.666667
1043518.228,1415807.639,3067.333333
1043518.409,1415807.608,3099
1043518.568,1415807.641,3130
1043518.713,1415807.741,3161
1043518.845,1415807.905,3192
1043518.992,1415808.085,3223.333333
1043519.179,1415808.226,3254.666667
1043519.406,1415808.327,3286
1043519.655,1415808.355,3317.666667
1043519.9,1415808.274,3349.333333
1043520.143,1415808.084,3381
1043520.413,1415807.815,3412.666667
1043520.738,1415807.497,3444.333333
1043521.118,1415807.13,3476
1043521.759,1415806.548,3522
1043522.495,1415805.94,3568
1043523.075,1415805.528,3600
1043523.726,1415805.157,3632
1043524.448,1415804.827,3664
1043525.159,1415804.523,3695
1043525.824,1415804.211,3726
1043526.445,1415803.89,3757
1043526.931,1415803.627,3783.5
1043527.368,1415803.393,3810
1043527.685,1415803.225,3831.5
1043527.97,1415803.077,3853
1043528.328,1415802.92,3884
1043528.628,1415802.851,3915
1043528.871,1415802.869,3946
1043529.194,1415802.993,3993
1043529.514,1415803.178,4040
1043529.695,1415803.289,4071
1043529.814,1415803.339,4102
1043529.874,1415803.328,4133
1043529.922,1415803.262,4164.666667
1043530.008,1415803.148,4196.333333
1043530.132,1415802.988,4228
1043530.249,1415802.854,4254.5
1043530.363,1415802.76,4281
1043530.445,1415802.715,4301
1043530.525,1415802.692,4321
1043530.721,1415802.693,4369
1043530.929,1415802.75,4417
1043531.082,1415802.8,4444.666667
1043531.294,1415802.853,4472.333333
1043531.567,1415802.908,4500
1043531.623,1415802.918,4505
1043531.68,1415802.929,4510
1043532.182,1415802.989,4555.5
1043532.618,1415802.98,4601
1043532.834,1415802.922,4627.5
1043533.012,1415802.8,4654
1043533.103,1415802.71,4669.5
1043533.192,1415802.622,4685
1043533.268,1415802.547,4698.5
1043533.341,1415802.473,4712
1043533.403,1415802.412,4722.25
1043533.477,1415802.339,4732.5
1043533.495,1415802.321,4734.75
1043533.513,1415802.302,4737
1043533.62,1415802.194,4749.75
1043533.738,1415802.087,4762.5
1043533.761,1415802.068,4764.75
1043533.785,1415802.049,4767
1043533.93,1415801.94,4779.75
1043534.087,1415801.825,4792.5
1043534.116,1415801.804,4794.75
1043534.145,1415801.785,4797
1043534.319,1415801.675,4809.75
1043534.502,1415801.561,4822.5
1043534.536,1415801.541,4824.75
1043534.569,1415801.522,4827
1043534.759,1415801.414,4839.75
1043534.955,1415801.299,4852.5
1043534.991,1415801.279,4854.75
1043535.026,1415801.259,4857
1043535.233,1415801.144,4869.75
1043535.445,1415801.017,4882.5
1043535.483,1415800.994,4884.75
1043535.521,1415800.972,4887
1043535.741,1415800.844,4899.75
1043535.971,1415800.71,4912.5
1043536.012,1415800.686,4914.75
1043536.052,1415800.662,4917
1043536.281,1415800.529,4929.75
1043536.519,1415800.401,4942.5
1043536.561,1415800.379,4944.75
1043536.603,1415800.356,4947
1043536.836,1415800.225,4959.75
1043537.067,1415800.099,4972.5
1043537.109,1415800.077,4974.75
1043537.151,1415800.055,4977
1043537.394,1415799.927,4989.75
1043537.634,1415799.794,5002.5
1043537.676,1415799.77,5004.75
1043537.72,1415799.748,5007
