X,Y,Z
1042184.45,1422928.87,0
1043304.17,1422924.64,0
1051159.93,1422927.28,0
1051369.48,1422851.08,0
1051553.63,1421282.63,0
1051058.33,1419114.23,0
1050833.43,1418115.43,0
1050648.22,1417341.52,0
1050006.61,1414381.49,0
1049331.92,1411643.05,0
1049120.25,1411510.76,0
1049034.26,1411431.38,0
1048931.73,1411150.26,0
1048736.6,1411226.33,0
1048710.14,1411127.11,0
1048478.63,1411219.71,0
1048412.49,1410915.44,0
1048343.03,1410733.54,0
1048766.37,1410568.18,0
1048739.91,1410363.12,0
1048716.76,1410158.07,0
1049236,1409966.25,0
1049199.62,1409761.19,0
1049480.74,1409658.67,0
1049452.36,1409442.87,0
1052091.58,1408463.91,0
1052131.27,1404362.86,0
1049366.37,1404137.96,0
1048929.8,1404303.33,0
1048916.57,1406016.51,0
1048579.23,1406142.18,0
1045953.24,1408000.88,0
1042731.93,1410302.76,0
1040314.29,1411863.81,0
1037612.23,1413100.74,0
1037374.1,1414278.14,0
1039120.36,1418537.94,0
1040107.66,1421146.14,0
1040179.96,1421335.02,0
1040749.35,1422829.39,0
1041054.15,1422928.87,0
1041591.78,1422933.11,0
1042184.45,1422928.87,0
