X,Y,Z
1045395.717,1412256.071,0
1045395.717,1412256.071,995
1045395.711,1412256.07,1002.08499
1045395.692,1412256.067,1009.16998
1045395.516,1412256.044,1056.204985
1045395.327,1412256.023,1103.23999
1045395.133,1412256.009,1150.755005
1045394.951,1412256.004,1198.27002
1045394.78,1412256.006,1245.119995
1045394.615,1412256.017,1291.96997
1045394.459,1412256.038,1339.27997
1045394.317,1412256.072,1386.58997
1045394.184,1412256.117,1433.84998
1045394.053,1412256.168,1481.10999
1045393.948,1412256.22,1527.864995
1045393.888,1412256.266,1574.62
1045393.859,1412256.302,1621.700015
1045393.848,1412256.322,1668.78003
1045393.849,1412256.331,1715.950015
1045393.858,1412256.333,1763.12
1045393.866,1412256.33,1809.82001
1045393.866,1412256.321,1856.52002
1045393.859,1412256.31,1903.14502
1045393.846,1412256.301,1949.77002
1045393.833,1412256.298,1997.07501
1045393.825,1412256.305,2044.38
1045393.82,1412256.323,2091.37994
1045393.817,1412256.356,2138.37988
1045393.817,1412256.408,2185.56494
1045393.823,1412256.484,2232.75
1045393.832,1412256.578,2279.98999
1045393.843,1412256.686,2327.22998
1045393.846,1412256.801,2373.265015
1045393.834,1412256.919,2419.30005
1045393.842,1412257.051,2466.70508
1045393.905,1412257.198,2514.11011
1045393.995,1412257.312,2545.33008
1045394.147,1412257.45,2576.55005
1045394.361,1412257.613,2607.77002
1045394.628,1412257.805,2638.90332
1045394.941,1412258.031,2670.03662
1045395.299,1412258.291,2701.16992
1045395.703,1412258.584,2732.55664
1045396.143,1412258.903,2763.94336
1045396.62,1412259.25,2795.33008
1045397.134,1412259.618,2826.583417
1045397.689,1412260.007,2857.836753
1045398.285,1412260.416,2889.09009
1045399.23,1412261.044,2935.660035
1045400.227,1412261.678,2982.22998
1045401.262,1412262.317,3028.599975
1045402.327,1412262.966,3074.96997
1045403.428,1412263.625,3121.13501
1045404.574,1412264.302,3167.30005
1045405.802,1412265.015,3214.44507
1045407.097,1412265.751,3261.59009
1045408.417,1412266.52,3308.69507
1045409.724,1412267.331,3355.80005
1045411.013,1412268.167,3402.015015
1045412.331,1412269.042,3448.22998
1045413.703,1412269.97,3495.14502
1045415.114,1412270.94,3542.06006
1045416.558,1412271.927,3588.80005
1045418.038,1412272.916,3635.54004
1045419.587,1412273.93,3682.910035
1045421.194,1412274.967,3730.28003
1045422.819,1412276.02,3776.77002
1045424.48,1412277.118,3823.26001
1045426.184,1412278.249,3870.170045
1045427.908,1412279.378,3917.08008
1045429.65,1412280.507,3963.805055
1045431.421,1412281.644,4010.53003
1045431.612,1412281.767,4015.53003
1045431.803,1412281.889,4020.53003
1045433.619,1412283.048,4067.660035
1045435.462,1412284.207,4114.79004
1045437.195,1412285.286,4158.64502
1045438.944,1412286.366,4202.5
1045440.7,1412287.45,4246.5
1045442.448,1412288.532,4290.5
1045444.237,1412289.641,4335.5
1045446.035,1412290.755,4380.5
1045456.198,1412297.051,4634
