X,Y,Z
1045395.68,1412256.10,0.00
1045395.68,1412256.10,22.00
1045395.68,1412256.09,61.00
1045395.66,1412256.06,100.00
1045395.64,1412256.02,150.00
1045395.61,1412255.99,200.00
1045395.59,1412255.96,250.00
1045395.56,1412255.93,300.00
1045395.52,1412255.89,350.00
1045395.47,1412255.85,400.00
1045395.39,1412255.80,450.00
1045395.30,1412255.76,500.00
1045395.18,1412255.72,550.00
1045395.07,1412255.68,600.00
1045394.96,1412255.64,650.00
1045394.85,1412255.61,700.00
1045394.75,1412255.58,750.00
1045394.65,1412255.52,800.00
1045394.55,1412255.45,850.00
1045394.45,1412255.37,900.00
1045394.33,1412255.30,950.00
1045394.22,1412255.21,1000.00
1045394.07,1412255.14,1051.62
1045393.87,1412255.11,1103.24
1045393.74,1412255.06,1133.96
1045393.60,1412254.95,1164.68
1045393.45,1412254.77,1195.40
1045393.43,1412254.74,1199.50
1045393.41,1412254.70,1203.60
1045393.40,1412254.69,1204.80
1045393.39,1412254.68,1206.00
1045393.24,1412254.43,1227.50
1045393.032,1412254.074,1249
1045392.773,1412253.614,1270.5
1045392.462,1412253.05,1292
1045392.172,1412252.522,1310.5
1045391.884,1412251.999,1329
1045391.378,1412251.085,1360.333333
1045390.835,1412250.106,1391.666667
1045390.253,1412249.061,1423
1045389.67,1412248.012,1453.5
1045389.086,1412246.964,1484
1045388.176,1412245.351,1531.5
1045387.26,1412243.776,1579
1045386.699,1412242.826,1609
1045386.176,1412241.941,1639
1045385.69,1412241.122,1669
1045385.218,1412240.323,1700.333333
1045384.776,1412239.569,1731.666667
1045384.363,1412238.861,1763
1045383.772,1412237.837,1810
1045383.19,1412236.822,1857
1045382.818,1412236.195,1887.666667
1045382.454,1412235.634,1918.333333
1045382.099,1412235.139,1949
1045381.748,1412234.707,1980.333333
1045381.415,1412234.354,2011.666667
1045381.098,1412234.081,2043
1045380.802,1412233.871,2075
1045380.543,1412233.719,2107
1045380.322,1412233.625,2139
1045380.152,1412233.556,2170
1045380.034,1412233.476,2201
1045379.969,1412233.383,2232
1045379.94,1412233.267,2280
1045379.974,1412233.221,2328
1045380.031,1412233.234,2359
1045380.118,1412233.286,2390
1045380.235,1412233.377,2421
1045380.445,1412233.555,2468
1045380.679,1412233.757,2515
1045380.945,1412233.95,2561.5
1045381.255,1412234.108,2608
1045381.586,1412234.255,2655.5
1045381.899,1412234.41,2703
1045382.175,1412234.552,2749.5
1045382.405,1412234.666,2796
1045382.649,1412234.746,2843
1045382.966,1412234.781,2890
1045383.277,1412234.818,2937
1045383.508,1412234.9,2984
